Ticker,Name,Sector,Industry,Price,MarketCap,ROE,DER,DivYield,PE_Ratio,PBV,Beta,Past24H
BBCA.JK,Bank Central Asia,Financial Services,Banks - Regional,6100.0,749545076031488,0.22972,0.0,5.69,12.956119,2.8925185,0.013,3.39
BBRI.JK,Bank Rakyat Indonesia,Financial Services,Banks - Regional,3170.0,477322499063808,0.18135999,0.0,13.7,8.151615,1.4113472,0.238,3.93
BMRI.JK,Bank Mandiri,Financial Services,Banks - Regional,4220.0,393866653990912,0.21040002,0.0,11.58,6.9963694,1.2902874,0.016,2.43
BBNI.JK,Bank Negara Indonesia,Financial Services,Banks - Regional,3890.0,144928940228608,0.12029,0.0,9.24,7.136567,0.8990318,0.203,2.91
BBTN.JK,Bank Tabungan Negara,Financial Services,Banks - Regional,1390.0,19507877773312,0.10541,0.0,3.98,5.2663484,0.5305514,0.439,8.17
BNGA.JK,Bank CIMB Niaga,Financial Services,Banks - Regional,1635.0,41341581000704,0.119770005,0.0,9.83,6.0127974,0.6986212,0.073,-0.61
BDMN.JK,Bank Danamon Indonesia,Financial Services,Banks - Regional,4880.0,47694936539136,0.08383001,0.0,3.14,12.009647,0.8930356,0.631,7.73
NISP.JK,Bank OCBC NISP,Financial Services,Banks - Regional,1310.0,30058339106816,0.12162,0.0,3.46,5.8620844,0.6739588,0.114,0.77
PNBN.JK,Bank Pan Indonesia,Financial Services,Banks - Regional,955.0,22988638388224,0.04975,0.0,4.4,8.460312,0.4181653,-0.244,0.0
BJBR.JK,Bank Pembangunan Daerah Jawa Barat,Financial Services,Banks - Regional,775.0,8154118619136,0.07808,0.0,11.18,7.0009036,0.47999626,0.125,1.31
BJTM.JK,Bank Pembangunan Daerah Jawa Timur,Financial Services,Banks - Regional,525.0,7883136172032,0.10316,0.0,10.99,4.8200517,0.57356364,0.216,1.94
MEGA.JK,Bank Mega,Financial Services,Banks - Regional,1865.0,43355706753024,0.15123999,0.0,4.61,12.563153,1.7464116,0.156,0.0
BTPS.JK,Bank BTPN Syariah,Financial Services,Banks - Regional,975.0,7511107698688,0.12149,0.0,12.46,6.209796,0.73077554,0.377,1.04
BNII.JK,Bank Maybank Indonesia,Financial Services,Banks - Regional,195.0,14861963624448,0.052950002,0.0,3.92,8.965517,0.45794857,0.226,0.52
AGRO.JK,Bank Rakyat Indonesia Agroniaga,Financial Services,Banks - Regional,167.0,4119816306688,-0.15855,0.0,0.0,0.0,1.3975948,0.592,4.38
BMAS.JK,Bank Maspion Indonesia,Financial Services,Banks - Regional,505.0,9141845229568,0.00057,0.0,0.0,2525.0,1.4056046,-0.156,1.0
BACA.JK,Bank Capital Indonesia,Financial Services,Banks - Regional,126.0,2514081021952,0.01952,0.0,0.0,19.148937,0.3706929,0.375,1.61
BBHI.JK,Allo Bank Indonesia,Financial Services,Banks - Regional,980.0,21184957644800,0.075840004,0.0,0.83,39.26282,2.8153963,0.529,24.84
ARTO.JK,Bank Jago,Financial Services,Banks - Regional,1150.0,15940530995200,0.03447,0.0,0.0,54.143127,1.787463,0.803,1.77
BBYB.JK,Bank Neo Commerce,Financial Services,Banks - Regional,276.0,3684733026304,0.13502,0.0,0.0,6.912096,0.85595196,0.669,3.76
TLKM.JK,Telkom Indonesia,Communication Services,Telecom Services,2930.0,289221621317632,0.16052,49.763,7.28,16.585531,2.116445,0.072,0.34
ISAT.JK,Indosat Ooredoo Hutchison,Communication Services,Telecom Services,2160.0,69661752295424,0.15026,133.421,5.41,12.2372675,1.8422898,-0.301,5.37
EXCL.JK,XL Axiata,Communication Services,Telecom Services,2880.0,52415604719616,-0.20136999,209.04,5.78,0.0,1.7568957,0.0,4.73
FREN.JK,Smartfren Telecom,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINK.JK,Link Net,Communication Services,Telecom Services,1170.0,3219729416192,-0.39328998,259.176,0.0,0.0,0.907073,0.426,-5.26
TBIG.JK,Tower Bersama Infrastructure,Communication Services,Telecom Services,1340.0,30273924235264,0.12106,221.158,3.66,21.392082,2.4063153,-0.093,0.75
TOWR.JK,Sarana Menara Nusantara,Real Estate,Real Estate Services,392.0,22818941042688,0.15922,166.964,3.48,5.6828065,0.84601086,-0.024,-1.01
